customer_id,first_name,last_name,birth_date,age,gender,address,city,province,postal_code,country,phone,email,employer,employment_status,annual_income,segment,kyc_level,risk_rating,customer_since,is_active,created_at
PMLA-C000010-SYN,Karen,Miller,1957-01-18,69,Female,9065 Pine Boulevard,Barrie,ON,L4Z 3N3,Canada,+1-236-717-9004,karen.miller@yahoo.ca,Rogers,Employed,29141.93,SMALL_BUSINESS,STANDARD,LOW,2006-09-08,True,2026-01-10 21:04:43
PMLA-C000011-SYN,Priya,Martin,1958-04-15,67,Male,5975 Front Street,Halifax,NS,B5J 3E5,Canada,+1-587-835-3532,priyamartin@hotmail.com,TD Bank,Employed,73994.02,SMALL_BUSINESS,STANDARD,LOW,2007-02-21,True,2026-01-10 21:04:43
PMLA-C000012-SYN,Jean,Williams,1987-03-25,38,Female,7542 Queen Boulevard,Calgary,AB,T3K 0J6,Canada,+1-438-485-2137,jwilliams@mail.com,Government of Canada,Self-employed,42237.15,PREMIUM,BASIC,LOW,2011-11-28,False,2026-01-10 21:04:43
PMLA-C000013-SYN,François,Morin,1973-02-21,52,Other,1895 Church Drive,Sherbrooke,QC,J4B 6A8,Canada,+1-604-572-8066,fmorin@mail.com,BMO,Self-employed,37178.43,RETAIL,BASIC,LOW,2018-11-10,True,2026-01-10 21:04:43
PMLA-C000014-SYN,Noah,Anderson,2000-03-22,25,Male,7 River Boulevard,London,ON,N3S 9Z5,Canada,+1-825-652-8244,noahanderson@fastmail.com,Bombardier,Employed,50823.24,RETAIL,ENHANCED,MEDIUM,2013-12-03,True,2026-01-10 21:04:43
PMLA-C000015-SYN,Elizabeth,Johnson,1949-02-23,76,Male,1194 Albert Way,Winnipeg,MB,R9J 6V6,Canada,+1-778-351-1090,elizabeth.johnson@protonmail.com,CP Rail,Employed,40616.94,SMALL_BUSINESS,ENHANCED,LOW,2019-11-08,True,2026-01-10 21:04:43
PMLA-C000016-SYN,Wei,Singh,1994-02-25,31,Male,7778 Albert Boulevard,Whitehorse,YT,Y3L 8V3,Canada,+1-236-650-2269,wsingh@outlook.com,Air Canada,Student,30168.42,RETAIL,BASIC,LOW,2014-11-04,True,2026-01-10 21:04:43
PMLA-C000017-SYN,Patricia,Thomas,1982-09-11,43,Female,321 Bay Way,Windsor,ON,N7A 5M6,Canada,+1-587-751-9947,patriciathomas@fastmail.com,City of Toronto,Employed,100468.86,SMALL_BUSINESS,ENHANCED,HIGH,2023-12-17,False,2026-01-10 21:04:43
PMLA-C000018-SYN,Priya,Clark,2004-06-25,21,Female,2978 Oak Boulevard,London,ON,N6N 3T5,Canada,+1-438-979-7211,priya.clark36@icloud.com,Amazon Canada,Employed,88318.1,SMALL_BUSINESS,STANDARD,HIGH,2008-12-10,True,2026-01-10 21:04:43
PMLA-C000019-SYN,Elizabeth,Jackson,1956-04-29,69,Male,3572 Albert Boulevard,Sherbrooke,QC,J5H 9Z1,Canada,+1-365-518-2771,elizabeth.jackson@icloud.com,Government of Canada,Employed,55355.3,SMALL_BUSINESS,ENHANCED,MEDIUM,2005-06-06,True,2026-01-10 21:04:43
PMLA-C000020-SYN,John,Morin,1992-10-17,33,Male,8290 Yonge Lane,Kelowna,BC,V0S 7E6,Canada,+1-450-850-8532,johnmorin@protonmail.com,Google Canada,Unemployed,86892.47,RETAIL,STANDARD,MEDIUM,2012-01-15,True,2026-01-10 21:04:43
PMLA-C000021-SYN,Jennifer,Roy,1985-06-11,40,Male,6210 King Street,Quebec City,QC,G7N 2V3,Canada,+1-450-464-6576,jennifer_roy@icloud.com,Google Canada,Student,70906.12,SMALL_BUSINESS,STANDARD,MEDIUM,2022-01-06,True,2026-01-10 21:04:43
PMLA-C000022-SYN,Jennifer,Gagnon,1964-11-18,61,Male,9529 Queen Crescent,Toronto,ON,M8W 5S8,Canada,+1-438-560-8434,jgagnon@icloud.com,Bombardier,Employed,55790.48,RETAIL,BASIC,LOW,2023-07-14,True,2026-01-10 21:04:43
PMLA-C000023-SYN,Richard,Gagnon,1965-05-30,60,Male,8752 Pine Boulevard,Calgary,AB,T0B 8M2,Canada,+1-613-305-1200,rgagnon@fastmail.com,Air Canada,Employed,101153.18,PREMIUM,STANDARD,LOW,2002-05-28,True,2026-01-10 21:04:43
PMLA-C000024-SYN,Karen,Garcia,1967-04-08,58,Female,9934 Dundas Drive,Kelowna,BC,V8R 7T4,Canada,+1-587-512-1986,karen.garcia@outlook.com,Rogers,Self-employed,54914.7,RETAIL,STANDARD,MEDIUM,2020-05-13,True,2026-01-10 21:04:43
PMLA-C000025-SYN,Thomas,Lewis,2004-04-26,21,Male,1881 John Drive,Quebec City,QC,G2L 2C0,Canada,+1-365-514-5728,thomas.lewis@fastmail.com,CP Rail,Employed,52103.97,RETAIL,ENHANCED,MEDIUM,2011-03-26,False,2026-01-10 21:04:43
PMLA-C000026-SYN,Noah,Clark,1997-09-03,28,Prefer not to say,4416 Wellington Street,Quebec City,QC,G2V 8T4,Canada,+1-365-799-8141,noah.clark82@yahoo.ca,City of Toronto,Employed,77485.93,SMALL_BUSINESS,BASIC,HIGH,2001-08-24,True,2026-01-10 21:04:43
PMLA-C000027-SYN,Thomas,Côté,1955-05-27,70,Male,8432 Main Crescent,Victoria,BC,V6B 3W5,Canada,+1-613-840-8242,thomas.côté@outlook.com,CIBC,Student,59489.45,PRIVATE,STANDARD,LOW,2007-02-07,True,2026-01-10 21:04:43
PMLA-C000028-SYN,Ling,Li,1953-05-13,72,Female,1859 Albert Avenue,Toronto,ON,M2V 4W4,Canada,+1-587-694-8736,ling.li32@hotmail.com,Suncor,Employed,75465.49,SMALL_BUSINESS,STANDARD,HIGH,2022-10-10,True,2026-01-10 21:04:43
PMLA-C000029-SYN,Charles,Bouchard,1997-08-28,28,Female,2435 Albert Crescent,Toronto,ON,M5N 8X6,Canada,+1-825-529-4090,charlesbouchard@protonmail.com,CAE,Employed,37505.37,RETAIL,ENHANCED,MEDIUM,2006-10-28,True,2026-01-10 21:04:43
PMLA-C000030-SYN,William,Thompson,1997-12-13,28,Male,7214 Cedar Crescent,Vancouver,BC,V0G 6G1,Canada,+1-613-471-6546,william.thompson80@yahoo.ca,CN Rail,Retired,28026.7,SMALL_BUSINESS,ENHANCED,LOW,2003-01-26,True,2026-01-10 21:04:43
PMLA-C000031-SYN,Charles,Moore,1953-02-09,72,Male,1647 Albert Road,Moncton,NB,E4A 0N0,Canada,+1-514-567-7141,charlesmoore@outlook.com,IBM Canada,Self-employed,24011.29,RETAIL,STANDARD,LOW,2006-06-02,True,2026-01-10 21:04:43
PMLA-C000032-SYN,Thomas,Kim,1967-11-28,58,Female,7623 River Road,Guelph,ON,N1T 5Y4,Canada,+1-587-906-5097,tkim@outlook.com,Amazon Canada,Employed,41282.13,SMALL_BUSINESS,BASIC,MEDIUM,2017-10-02,True,2026-01-10 21:04:43
PMLA-C000033-SYN,Noah,Brown,1999-05-28,26,Female,4690 Bay Drive,Kelowna,BC,V9P 3J9,Canada,+1-236-894-3240,noah.brown@gmail.com,University of Toronto,Employed,38013.85,RETAIL,STANDARD,MEDIUM,2016-05-30,True,2026-01-10 21:04:43
PMLA-C000034-SYN,David,Tremblay,1988-03-25,37,Male,5550 Front Avenue,Hamilton,ON,L7C 2K6,Canada,+1-450-292-7464,dtremblay@yahoo.ca,CN Rail,Self-employed,36962.53,RETAIL,STANDARD,LOW,2014-09-18,True,2026-01-10 21:04:43
PMLA-C000035-SYN,Olivia,Jones,2002-01-02,24,Female,4952 Yonge Way,Quebec City,QC,G1G 0B4,Canada,+1-613-318-2592,olivia_jones@hotmail.com,Loblaws,Self-employed,94708.69,SMALL_BUSINESS,BASIC,LOW,2004-06-10,True,2026-01-10 21:04:43
PMLA-C000036-SYN,Marie,Roy,1947-12-09,78,Male,7286 Lake Lane,Sherbrooke,QC,J1P 8P0,Canada,+1-403-482-4109,marie.roy16@yahoo.ca,Enbridge,Employed,27490.65,PRIVATE,STANDARD,LOW,2009-04-17,True,2026-01-10 21:04:43
PMLA-C000037-SYN,nancy,Martinez,1998-06-21,27,Female,2859 Cedar Street,Quebec City,QC,G2A 5K9,Canada,+1-438-216-3854,nancy.martinez@hotmail.com,Google Canada,Employed,45727.45,RETAIL,STANDARD,LOW,2001-12-11,True,2026-01-10 21:04:43
PMLA-C000038-SYN,Yan,Bouchard,1986-02-04,39,Male,7848 Church Way,Moncton,NB,E1V 7C1,Canada,+1-438-822-3430,yanbouchard@icloud.com,IBM Canada,Employed,44328.44,RETAIL,STANDARD,MEDIUM,2009-08-23,True,2026-01-10 21:04:43
PMLA-C000039-SYN,Marie,Gauthier,1985-09-08,40,Female,5121 Victoria Lane,Quebec City,QC,G4P 2V1,Canada,+1-437-287-2527,marie.gauthier@mail.com,Microsoft Canada,Employed,57545.95,RETAIL,ENHANCED,HIGH,2018-12-21,True,2026-01-10 21:04:43
PMLA-C000040-SYN,Patricia,Gagnon,1998-11-13,27,Male,8314 Park Road,Whitehorse,YT,Y7K 1P8,Canada,+1-450-317-5564,patriciagagnon@protonmail.com,CAE,Retired,55586.87,PREMIUM,ENHANCED,LOW,2008-02-03,True,2026-01-10 21:04:43
PMLA-C000041-SYN,Nancy,Morin,1945-07-20,80,Male,6567 Maple Road,Kitchener,ON,N0C 8J6,Canada,+1-587-664-6585,nmorin@icloud.com,CAE,Student,72359.34,SMALL_BUSINESS,BASIC,LOW,2019-11-16,True,2026-01-10 21:04:43
PMLA-C000042-SYN,Ahmed,Patel,1982-02-27,43,Female,1865 Queen Way,Regina,SK,S1M 9V8,Canada,+1-514-246-4612,ahmed_patel@gmail.com,,Employed,32274.57,RETAIL,BASIC,MEDIUM,2007-11-18,True,2026-01-10 21:04:43
PMLA-C000043-SYN,Sophia,Moore,1989-11-18,36,Female,5803 Maple Way,Barrie,ON,L0S 0T1,Canada,+1-438-789-8033,sophia.moore74@protonmail.com,Government of Canada,Employed,96454.56,PREMIUM,ENHANCED,LOW,2004-09-30,True,2026-01-10 21:04:43
PMLA-C000044-SYN,Pierre,White,1952-01-22,74,Male,5563 Lake Lane,Kelowna,BC,V2C 8E8,Canada,+1-343-398-6724,pierrewhite@outlook.com,Rogers,Employed,93706.42,RETAIL,STANDARD,LOW,2020-02-19,True,2026-01-10 21:04:43
PMLA-C000045-SYN,Olivia,Hall,1973-12-30,52,Female,2474 Albert Avenue,Kelowna,BC,V7T 4L9,Canada,+1-647-560-9312,ohall@fastmail.com,RBC,Employed,20624.63,RETAIL,STANDARD,HIGH,2001-11-03,True,2026-01-10 21:04:43
PMLA-C000046-SYN,Olivia,Taylor,1973-11-05,52,Female,1014 Albert Avenue,Kelowna,BC,V5C 8H0,Canada,+1-778-924-8172,olivia_taylor@hotmail.com,Bell Canada,Employed,57637.67,SMALL_BUSINESS,STANDARD,LOW,2017-05-04,True,2026-01-10 21:04:43
PMLA-C000047-SYN,Liam,Walker,1958-06-29,67,Female,2318 Queen Boulevard,Whitehorse,YT,Y6G 9C4,Canada,+1-403-858-6381,liam_walker@yahoo.ca,City of Toronto,Employed,,RETAIL,ENHANCED,LOW,2021-10-24,True,2026-01-10 21:04:43
PMLA-C000048-SYN,Elizabeth,Jones,1971-07-16,54,Male,8844 Spadina Street,Edmonton,AB,T5Z 2Z6,Canada,+1-289-366-3962,elizabeth_jones@hotmail.com,RBC,Employed,32693.53,RETAIL,STANDARD,LOW,2023-12-15,True,2026-01-10 21:04:43
PMLA-C000049-SYN,Richard,Lavoie,2005-11-08,20,Other,7565 Bay Boulevard,Regina,SK,S6W 8S2,Canada,+1-604-819-3267,richard.lavoie@fastmail.com,Microsoft Canada,Student,49791.04,RETAIL,BASIC,LOW,2023-01-10,True,2026-01-10 21:04:43
PMLA-C000050-SYN,Jennifer,Moore,1985-06-22,40,Female,6798 Oak Way,Windsor,ON,N8P 3R1,Canada,+1-450-429-1461,jennifer.moore@mail.com,CIBC,Employed,42621.02,SMALL_BUSINESS,STANDARD,MEDIUM,2003-07-22,False,2026-01-10 21:04:43
PMLA-C000051-SYN,Elizabeth,Martin,1999-08-17,26,Male,4721 Lake Boulevard,Winnipeg,MB,R1B 3S9,Canada,+1-825-264-2816,elizabeth_martin@gmail.com,IBM Canada,Employed,41874.2,RETAIL,STANDARD,MEDIUM,2003-11-03,True,2026-01-10 21:04:43
PMLA-C000052-SYN,Robert,White,1993-10-24,32,Other,9080 Main Way,Halifax,NS,B7B 6P4,Canada,+1-416-565-2106,robertwhite@yahoo.ca,Bombardier,Self-employed,40475.95,SMALL_BUSINESS,ENHANCED,MEDIUM,2021-06-19,True,2026-01-10 21:04:43
PMLA-C000053-SYN,Robert,Kim,1948-04-26,77,Male,3269 Oak Lane,Edmonton,AB,T4W 6X7,Canada,+1-236-237-4131,rkim@gmail.com,Air Canada,Employed,44795.46,RETAIL,ENHANCED,LOW,2008-05-18,True,2026-01-10 21:04:43
PMLA-C000054-SYN,Lisa,White,1968-12-05,57,Female,1294 Victoria Road,Regina,SK,S8M 5E1,Canada,+1-438-876-5843,lisa.white40@protonmail.com,University of Toronto,Employed,,PREMIUM,STANDARD,HIGH,2012-04-25,True,2026-01-10 21:04:43
PMLA-C000055-SYN,Robert,Wang,1977-08-05,48,Female,2622 Main Road,Vancouver,BC,V9T 0G1,Canada,+1-778-997-7001,robert.wang47@gmail.com,CN Rail,Employed,46532.58,RETAIL,STANDARD,LOW,2012-07-02,True,2026-01-10 21:04:43
PMLA-C000056-SYN,Mary,Anderson,1989-10-09,36,Female,1930 Hill Boulevard,Calgary,AB,T7J 9M7,Canada,+1-604-325-3223,mary.anderson10@hotmail.com,University of Toronto,Unemployed,80471.01,RETAIL,BASIC,LOW,2007-01-24,True,2026-01-10 21:04:43
PMLA-C000057-SYN,Emma,Anderson,1977-06-07,48,Male,3293 Front Road,Charlottetown,PE,C3V 0P8,Canada,+1-450-678-3126,emma.anderson@yahoo.ca,CP Rail,Self-employed,181119.21,RETAIL,ENHANCED,MEDIUM,2020-03-08,True,2026-01-10 21:04:43
PMLA-C000058-SYN,Daniel,Rodriguez,1994-06-18,31,Male,2115 Victoria Street,St. John's,NL,A1W 2M2,Canada,+1-365-530-4694,daniel_rodriguez@icloud.com,Rogers,Employed,29262.3,SMALL_BUSINESS,BASIC,MEDIUM,2006-12-01,True,2026-01-10 21:04:43
PMLA-C000059-SYN,Lucas,Walker,1975-04-17,50,Female,465 Maple Street,Sherbrooke,QC,J9L 3Y6,Canada,+1-416-709-9938,lwalker@fastmail.com,CN Rail,Employed,59406.75,RETAIL,STANDARD,LOW,2006-06-11,True,2026-01-10 21:04:43
PMLA-C000060-SYN,Christopher,Morin,1980-10-09,45,Male,9203 Cedar Lane,Charlottetown,PE,C3T 1L7,Canada,+1-778-344-2586,cmorin@protonmail.com,City of Toronto,Employed,31760.97,RETAIL,STANDARD,MEDIUM,2022-05-08,True,2026-01-10 21:04:43
PMLA-C000061-SYN,  Marc  ,Bouchard,1989-08-15,36,Other,3525 Wellington Lane,Saskatoon,SK,S0B 4V9,Canada,+1-613-492-9793,marc.bouchard@protonmail.com,Rogers,Self-employed,40463.56,RETAIL,BASIC,LOW,2003-04-19,True,2026-01-10 21:04:43
PMLA-C000062-SYN,Ling,Roy,2000-11-30,25,Male,1585 Church Lane,Saskatoon,SK,S5X 5G3,Canada,+1-343-611-9193,ling.roy@gmail.com,Air Canada,Retired,37933.14,SMALL_BUSINESS,ENHANCED,LOW,2022-10-03,True,2026-01-10 21:04:43
PMLA-C000063-SYN,Marc,Clark,1971-11-24,54,Male,5428 Bloor Avenue,Barrie,ON,L6Y 4A9,Canada,+1-613-471-4728,marc.clark@fastmail.com,Enbridge,Self-employed,27549.67,RETAIL,STANDARD,MEDIUM,2008-07-22,False,2026-01-10 21:04:43
PMLA-C000064-SYN,Marie,Martinez,1982-01-18,44,Male,7727 Spadina Street,Victoria,BC,V2W 3X5,Canada,+1-613-738-7173,mariemartinez@fastmail.com,Air Canada,Employed,131637.15,PREMIUM,BASIC,LOW,2011-01-21,True,2026-01-10 21:04:43
PMLA-C000065-SYN,Joseph,Bouchard,1970-12-06,55,Female,8012 King Crescent,Kitchener,ON,N5X 4M1,Canada,+1-403-604-6654,josephbouchard@icloud.com,,Unemployed,64210.15,PREMIUM,BASIC,LOW,2012-03-08,True,2026-01-10 21:04:43
PMLA-C000066-SYN,Charlotte,Lewis,1966-06-20,59,Female,8701 Lake Drive,Sherbrooke,QC,J0E 6N7,Canada,+1-905-897-3252,charlotte_lewis@hotmail.com,Amazon Canada,Employed,88097.19,SMALL_BUSINESS,ENHANCED,LOW,2010-06-01,True,2026-01-10 21:04:43
PMLA-C000067-SYN,John,Anderson,1982-06-29,43,Male,596 Church Crescent,Whitehorse,YT,Y2M 0A4,Canada,+1-905-543-5662,john_anderson@fastmail.com,CIBC,Retired,36426.61,RETAIL,STANDARD,LOW,2008-05-08,False,2026-01-10 21:04:43
PMLA-C000068-SYN,Charles,Clark,2005-07-03,20,Male,6644 Victoria Lane,Victoria,BC,V1R 1H2,Canada,+1-613-531-5064,cclark@protonmail.com,CAE,Employed,57849.54,RETAIL,STANDARD,LOW,2005-04-20,True,2026-01-10 21:04:43
PMLA-C000069-SYN,Pierre,Thompson,1972-11-25,53,Female,4834 Queen Drive,Ottawa,ON,K3G 7G7,Canada,+1-450-625-9998,pierre_thompson@outlook.com,CN Rail,Self-employed,25635.42,SMALL_BUSINESS,BASIC,LOW,2002-10-08,True,2026-01-10 21:04:43
PMLA-C000070-SYN,Richard,Clark,1993-02-23,32,Male,8526 Albert Avenue,St. John's,NL,A3Y 7C8,Canada,+1-825-256-8429,richard_clark@protonmail.com,RBC,Employed,37758.37,RETAIL,STANDARD,LOW,2002-09-14,True,2026-01-10 21:04:43
PMLA-C000071-SYN,Isabelle,Williams,1970-10-04,55,Female,6888 Queen Way,Montreal,QC,H7R 6C8,Canada,+1-289-869-6697,isabellewilliams@protonmail.com,Bombardier,Unemployed,43784.28,RETAIL,STANDARD,LOW,2020-08-29,True,2026-01-10 21:04:43
PMLA-C000072-SYN,Richard,Davis,1947-11-22,78,Male,257 Lake Drive,Hamilton,ON,L1E 9B7,Canada,+1-647-450-1724,richard.davis52@outlook.com,CAE,Retired,49251.83,PREMIUM,STANDARD,LOW,2014-05-20,True,2026-01-10 21:04:43
PMLA-C000073-SYN,Liam,White,1964-10-31,61,Male,9122 Wellington Road,Edmonton,AB,T6X 7B5,Canada,+1-403-737-6222,liam.white90@protonmail.com,Government of Canada,Employed,36797.24,PREMIUM,BASIC,LOW,2002-08-02,True,2026-01-10 21:04:43
PMLA-C000074-SYN,Ling,White,1957-01-11,69,Male,5412 Yonge Avenue,Windsor,ON,N7P 1X3,Canada,+1-647-474-7179,ling_white@gmail.com,Shopify,Retired,59149.61,RETAIL,ENHANCED,LOW,2000-09-08,True,2026-01-10 21:04:43
PMLA-C000075-SYN,Charlotte,Davis,1987-12-20,38,Female,3351 Church Drive,Winnipeg,MB,R8N 4R7,Canada,+1-450-515-5285,charlotte_davis@fastmail.com,Bombardier,Employed,86228.44,RETAIL,STANDARD,LOW,2006-07-18,False,2026-01-10 21:04:43
PMLA-C000076-SYN,Priya,Lewis,1982-06-19,43,Male,3769 Church Drive,Barrie,ON,L7X 5L7,Canada,+1-613-671-3756,plewis@hotmail.com,Microsoft Canada,Employed,54225.45,RETAIL,BASIC,MEDIUM,2002-03-05,True,2026-01-10 21:04:43
PMLA-C000077-SYN,William,Moore,1951-02-06,74,Male,8286 Albert Lane,Windsor,ON,N0Z 9V7,Canada,+1-416-206-9719,william.moore71@gmail.com,,Self-employed,33942.7,SMALL_BUSINESS,STANDARD,HIGH,2008-01-16,True,2026-01-10 21:04:43
PMLA-C000078-SYN,Yan,Martinez,1966-08-15,59,Female,5808 Hill Way,Calgary,AB,T1P 6T9,Canada,+1-778-913-4700,yan.martinez@gmail.com,,Employed,27900.75,RETAIL,STANDARD,LOW,2004-04-11,True,2026-01-10 21:04:43
PMLA-C000079-SYN,Joseph,Thomas,1995-11-07,30,Male,1219 Bloor Boulevard,Vancouver,BC,V8Y 0H5,Canada,+1-416-412-3362,joseph.thomas97@yahoo.ca,IBM Canada,Employed,19558.17,RETAIL,STANDARD,LOW,2003-07-08,True,2026-01-10 21:04:43
PMLA-C000080-SYN,Patricia,Miller,1984-03-19,41,Male,9916 Bay Way,Halifax,NS,B5A 4T7,Canada,+1-778-564-7150,patriciamiller@protonmail.com,,Employed,59822.27,RETAIL,STANDARD,MEDIUM,2017-06-23,True,2026-01-10 21:04:43
PMLA-C000081-SYN,Jennifer,Smith,1972-08-28,53,Female,1675 Pine Avenue,Calgary,AB,T2S 7X8,Canada,+1-343-617-2692,jennifer.smith@mail.com,Suncor,Employed,42658.94,RETAIL,BASIC,HIGH,2010-11-21,True,2026-01-10 21:04:43
PMLA-C000082-SYN,Noah,Chen,1960-03-17,65,Male,8080 Pine Avenue,Ottawa,ON,K2S 4S4,Canada,+1-613-278-6916,noahchen@fastmail.com,Shopify,Employed,24340.53,PREMIUM,STANDARD,MEDIUM,2019-09-30,True,2026-01-10 21:04:43
PMLA-C000083-SYN,Ahmed,Rodriguez,1971-12-15,54,Female,3291 George Lane,Guelph,ON,N2R 5M7,Canada,+1-778-533-7161,ahmed.rodriguez36@mail.com,IBM Canada,Employed,15041.29,RETAIL,STANDARD,HIGH,2009-05-27,True,2026-01-10 21:04:43
PMLA-C000084-SYN,Ava,Jones,1981-09-15,44,Male,4962 Lake Boulevard,Kitchener,ON,N2S 6C7,Canada,+1-613-796-7566,ava_jones@protonmail.com,Loblaws,Self-employed,125510.72,RETAIL,BASIC,MEDIUM,2007-06-18,True,2026-01-10 21:04:43
PMLA-C000085-SYN,Raj,Wang,1974-10-01,51,Male,173 Cedar Boulevard,Vancouver,BC,V3W 8X9,Canada,+1-778-656-7129,raj.wang51@hotmail.com,TD Bank,Employed,140526.64,RETAIL,STANDARD,MEDIUM,2023-05-17,True,2026-01-10 21:04:43
PMLA-C000086-SYN,Michael,Patel,1985-08-04,40,Male,1886 Main Lane,Regina,SK,S1H 3W2,Canada,+1-365-538-7985,michaelpatel@protonmail.com,Desjardins,Employed,25935.01,RETAIL,STANDARD,LOW,2002-10-22,True,2026-01-10 21:04:43
PMLA-C000087-SYN,Barbara,Lavoie,1974-03-31,51,Male,8020 James Lane,Barrie,ON,L9R 9R9,Canada,+1-905-556-6766,barbara_lavoie@hotmail.com,CP Rail,Retired,62061.52,RETAIL,BASIC,LOW,2016-09-29,True,2026-01-10 21:04:43
PMLA-C000088-SYN,Jean,Li,1998-07-05,27,Male,3044 George Road,St. John's,NL,A8H 7M2,Canada,+1-365-522-8389,jean.li@mail.com,Amazon Canada,Employed,109585.58,RETAIL,STANDARD,LOW,2019-11-29,True,2026-01-10 21:04:43
PMLA-C000089-SYN,Raj,Johnson,1964-10-14,61,Male,8809 River Road,Montreal,QC,H7Y 7X8,Canada,+1-905-786-2871,raj_johnson@mail.com,CAE,Employed,66635.2,PRIVATE,STANDARD,LOW,2003-11-26,True,2026-01-10 21:04:43
PMLA-C000090-SYN,Jessica,Thomas,1997-09-30,28,Female,9999 Yonge Way,Calgary,AB,T2Z 2J3,Canada,+1-647-783-6747,jthomas@hotmail.com,CP Rail,Employed,109003.95,PREMIUM,ENHANCED,LOW,2018-06-18,True,2026-01-10 21:04:43
PMLA-C000091-SYN,Olivia,Rodriguez,1956-11-27,69,Female,4056 Bay Way,Hamilton,ON,L7G 9L6,Canada,+1-403-662-2237,olivia.rodriguez@protonmail.com,Rogers,Self-employed,45437.55,RETAIL,ENHANCED,MEDIUM,2004-03-06,True,2026-01-10 21:04:43
PMLA-C000092-SYN,Emma,Morin,1950-09-07,75,Male,7040 Park Crescent,Saskatoon,SK,S4N 4N8,Canada,+1-289-779-8951,emma.morin@gmail.com,,Retired,59062.37,SMALL_BUSINESS,BASIC,HIGH,2012-04-16,True,2026-01-10 21:04:43
PMLA-C000093-SYN,Thomas,Garcia,1978-05-12,47,Female,849 Church Boulevard,Halifax,NS,B3S 1E0,Canada,+1-604-688-2276,thomas_garcia@outlook.com,University of Toronto,Employed,45397.6,RETAIL,STANDARD,MEDIUM,2004-08-05,True,2026-01-10 21:04:43
PMLA-C000094-SYN,Karen,Rodriguez,1979-05-04,46,Female,2182 Yonge Road,Halifax,NS,B1W 9A9,Canada,+1-365-650-6753,karenrodriguez@hotmail.com,Suncor,Self-employed,83082.97,RETAIL,ENHANCED,LOW,2006-04-09,True,2026-01-10 21:04:43
PMLA-C000095-SYN,Jennifer,Jackson,1994-08-25,31,Female,4669 Bay Street,Guelph,ON,N4J 8Z8,Canada,+1-604-965-7418,jennifer.jackson@outlook.com,BMO,Employed,25461.45,RETAIL,STANDARD,MEDIUM,2018-11-17,True,2026-01-10 21:04:43
