account_id,customer_id,account_type,account_number,currency,balance,available_balance,hold_amount,interest_rate,overdraft_limit,opened_date,last_activity_date,status,branch_id,created_at
PMLA-A000014-SYN,PMLA-C001059-SYN,CHECKING,****4654,CAD,524.18,474.53,0.0,0.48,2000,2017-06-21,2018-10-29,DORMANT,BR-0016,2026-01-10 21:04:43
PMLA-A000015-SYN,PMLA-C000921-SYN,BUSINESS,****4412,CAD,664.88,611.78,0.0,1.33,0,2018-09-27,2020-07-26,ACTIVE,BR-0013,2026-01-10 21:04:43
PMLA-A000016-SYN,PMLA-C000562-SYN,SAVINGS,****1500,CAD,2635.7,2359.2,0.0,1.75,5000,2024-01-24,2024-09-28,ACTIVE,BR-0016,2026-01-10 21:04:43
PMLA-A000017-SYN,PMLA-C000117-SYN,BUSINESS,****4245,CAD,19808.63,16138.89,0.0,0.5,0,2013-07-23,2019-12-12,ACTIVE,BR-0026,2026-01-10 21:04:43
PMLA-A000018-SYN,PMLA-C000994-SYN,CHECKING,****4305,CAD,3033.26,2863.1,0.0,3.92,2000,2015-03-20,2020-08-03,ACTIVE,BR-0006,2026-01-10 21:04:43
PMLA-A000019-SYN,PMLA-C001206-SYN,JOINT,****3165,CAD,2581.24,2377.21,0.0,3.02,500,2014-06-17,2020-06-29,ACTIVE,BR-0045,2026-01-10 21:04:43
PMLA-A000020-SYN,PMLA-C000568-SYN,CHECKING,****8321,CAD,31515.9,26970.24,0.0,3.04,2000,2011-09-09,2022-08-10,ACTIVE,BR-0035,2026-01-10 21:04:43
PMLA-A000021-SYN,PMLA-C001066-SYN,SAVINGS,****1133,CAD,8227.45,7370.03,0.0,2.55,0,2014-07-26,2017-11-23,ACTIVE,BR-0045,2026-01-10 21:04:43
PMLA-A000022-SYN,PMLA-C000490-SYN,CHECKING,****5768,CAD,3081.93,2637.42,0.0,2.04,1000,2012-04-04,2018-12-27,ACTIVE,BR-0047,2026-01-10 21:04:43
PMLA-A000023-SYN,PMLA-C000308-SYN,CHECKING,****3672,CAD,515.91,441.34,0.0,1.44,0,2015-10-11,2022-08-28,ACTIVE,BR-0008,2026-01-10 21:04:43
PMLA-A000024-SYN,PMLA-C000517-SYN,JOINT,****1507,CAD,1506.0,1329.47,304.66,0.53,0,2013-07-25,2021-11-28,ACTIVE,BR-0031,2026-01-10 21:04:43
PMLA-A000025-SYN,PMLA-C000940-SYN,CHECKING,****4530,CAD,4608.77,4240.65,0.0,1.46,2000,2005-01-04,2023-10-17,ACTIVE,BR-0031,2026-01-10 21:04:43
PMLA-A000026-SYN,PMLA-C001416-SYN,CHECKING,****8851,CAD,8955.36,7284.38,0.0,1.83,2000,2022-04-22,2024-05-13,ACTIVE,BR-0034,2026-01-10 21:04:43
PMLA-A000027-SYN,PMLA-C000842-SYN,SAVINGS,****4401,CAD,2411.29,1986.6,0.0,0.9,2000,2006-07-28,2009-06-25,ACTIVE,BR-0040,2026-01-10 21:04:43
PMLA-A000028-SYN,PMLA-C001056-SYN,CHECKING,****5535,CAD,7180.15,6393.94,0.0,1.02,1000,2014-06-14,2017-06-19,CLOSED,BR-0016,2026-01-10 21:04:43
PMLA-A000029-SYN,PMLA-C000525-SYN,SAVINGS,****7230,CAD,2967.52,2911.17,0.0,3.82,500,2017-08-19,2023-08-03,ACTIVE,BR-0017,2026-01-10 21:04:43
PMLA-A000030-SYN,PMLA-C001039-SYN,CHECKING,****7313,CAD,13858.34,11887.23,0.0,2.37,5000,2008-09-01,2018-01-22,ACTIVE,BR-0003,2026-01-10 21:04:43
PMLA-A000031-SYN,PMLA-C000163-SYN,JOINT,****3179,CAD,2600.61,2088.07,0.0,4.29,1000,2018-06-26,2023-08-07,ACTIVE,BR-0045,2026-01-10 21:04:43
PMLA-A000032-SYN,PMLA-C000546-SYN,JOINT,****2526,CAD,4182.52,3492.03,0.0,4.13,5000,2020-08-05,2024-10-04,ACTIVE,BR-0016,2026-01-10 21:04:43
PMLA-A000033-SYN,PMLA-C000463-SYN,CHECKING,****3534,CAD,2138.11,1946.28,0.0,1.45,2000,2010-05-13,2018-11-05,ACTIVE,BR-0046,2026-01-10 21:04:43
PMLA-A000034-SYN,PMLA-C001369-SYN,CHECKING,****9759,CAD,4070.43,3774.36,495.64,4.0,500,2008-12-06,2023-04-02,ACTIVE,BR-0009,2026-01-10 21:04:43
PMLA-A000035-SYN,PMLA-C000434-SYN,BUSINESS,****5611,CAD,2993.58,2432.91,400.1,1.0,5000,2010-09-26,2017-01-09,ACTIVE,BR-0027,2026-01-10 21:04:43
PMLA-A000036-SYN,PMLA-C000931-SYN,CHECKING,****9405,CAD,1077.46,1013.97,0.0,2.71,1000,2020-02-25,2023-12-17,ACTIVE,BR-0022,2026-01-10 21:04:43
PMLA-A000037-SYN,PMLA-C000434-SYN,CHECKING,****8041,CAD,25834.4,25759.19,0.0,1.91,0,2012-08-14,2023-10-03,ACTIVE,BR-0033,2026-01-10 21:04:43
PMLA-A000038-SYN,PMLA-C000173-SYN,BUSINESS,****2195,CAD,1049.61,1000.21,0.0,2.09,1000,2023-09-29,2024-08-10,ACTIVE,BR-0048,2026-01-10 21:04:43
PMLA-A000039-SYN,PMLA-C000649-SYN,BUSINESS,****6165,CAD,1797.03,1587.74,0.0,0.6,2000,2005-06-01,2019-04-02,ACTIVE,BR-0041,2026-01-10 21:04:43
PMLA-A000040-SYN,PMLA-C001320-SYN,CHECKING,****8443,CAD,15908.12,14125.23,0.0,3.56,500,2014-08-30,2015-12-29,ACTIVE,BR-0018,2026-01-10 21:04:43
PMLA-A000041-SYN,PMLA-C000775-SYN,CHECKING,****3092,CAD,59748.68,56019.83,0.0,0.09,5000,2011-12-10,2015-08-21,ACTIVE,BR-0047,2026-01-10 21:04:43
PMLA-A000042-SYN,PMLA-C000431-SYN,CHECKING,****6607,CAD,4386.23,4019.39,119.95,1.23,500,2007-05-31,2011-08-03,ACTIVE,BR-0011,2026-01-10 21:04:43
PMLA-A000043-SYN,PMLA-C000795-SYN,SAVINGS,****6672,CAD,2841.66,2685.27,0.0,0.67,5000,2008-03-10,2014-12-14,ACTIVE,BR-0024,2026-01-10 21:04:43
PMLA-A000044-SYN,PMLA-C000787-SYN,CHECKING,****4759,CAD,33680.03,31001.54,0.0,0.94,0,2022-11-14,2024-06-28,ACTIVE,BR-0006,2026-01-10 21:04:43
PMLA-A000045-SYN,PMLA-C001104-SYN,SAVINGS,****4060,CAD,16153.0,14632.51,339.43,2.55,2000,2016-04-26,2018-05-03,ACTIVE,BR-0033,2026-01-10 21:04:43
PMLA-A000046-SYN,PMLA-C000496-SYN,CHECKING,****8080,CAD,697.81,646.33,0.0,3.45,5000,2018-07-19,2021-10-28,ACTIVE,BR-0041,2026-01-10 21:04:43
PMLA-A000047-SYN,PMLA-C001416-SYN,CHECKING,****7873,CAD,956686.05,826458.46,0.0,2.89,0,2021-05-27,2022-07-29,DORMANT,BR-0029,2026-01-10 21:04:43
PMLA-A000048-SYN,PMLA-C000203-SYN,SAVINGS,****6377,CAD,5035.35,4612.14,332.27,0.17,1000,2016-12-25,2024-06-01,DORMANT,BR-0003,2026-01-10 21:04:43
PMLA-A000049-SYN,PMLA-C000516-SYN,SAVINGS,****5710,CAD,5910.71,4753.24,0.0,1.18,5000,2013-12-24,2016-10-18,ACTIVE,BR-0032,2026-01-10 21:04:43
PMLA-A000050-SYN,PMLA-C000389-SYN,CHECKING,****5405,CAD,700.62,627.43,0.0,2.59,0,2018-10-08,2024-11-02,ACTIVE,BR-0048,2026-01-10 21:04:43
PMLA-A000051-SYN,PMLA-C001377-SYN,BUSINESS,****9000,CAD,328.07,302.51,36.01,1.78,1000,2005-01-04,2007-10-27,ACTIVE,BR-0006,2026-01-10 21:04:43
PMLA-A000052-SYN,PMLA-C001307-SYN,SAVINGS,****1478,CAD,3635.63,3325.25,0.0,2.0,2000,2022-06-03,2023-06-13,ACTIVE,BR-0045,2026-01-10 21:04:43
PMLA-A000053-SYN,PMLA-C001448-SYN,BUSINESS,****4158,CAD,376.22,301.36,0.0,0.37,5000,2005-07-24,2010-07-10,ACTIVE,BR-0022,2026-01-10 21:04:43
PMLA-A000054-SYN,PMLA-C000324-SYN,CHECKING,****7185,CAD,551.0,470.31,274.92,0.12,1000,2017-10-04,2019-06-03,ACTIVE,BR-0043,2026-01-10 21:04:43
PMLA-A000055-SYN,PMLA-C000481-SYN,JOINT,****7258,CAD,2096.79,1783.17,0.0,0.53,2000,2007-03-01,2008-03-30,ACTIVE,BR-0004,2026-01-10 21:04:43
PMLA-A000056-SYN,PMLA-C000880-SYN,CHECKING,****5188,CAD,8185.83,6741.65,0.0,0.73,5000,2015-03-10,2015-06-22,ACTIVE,BR-0017,2026-01-10 21:04:43
PMLA-A000057-SYN,PMLA-C000964-SYN,SAVINGS,****2556,CAD,56316.33,53329.87,0.0,1.23,2000,2018-12-03,2022-08-19,ACTIVE,BR-0024,2026-01-10 21:04:43
PMLA-A000058-SYN,PMLA-C000930-SYN,BUSINESS,****4685,CAD,26303.52,23468.89,0.0,2.85,1000,2021-12-18,2024-09-14,DORMANT,BR-0006,2026-01-10 21:04:43
PMLA-A000059-SYN,PMLA-C000042-SYN,BUSINESS,****4562,CAD,9295.69,9187.06,0.0,2.43,2000,2023-05-10,2024-03-27,ACTIVE,BR-0050,2026-01-10 21:04:43
PMLA-A000060-SYN,PMLA-C000088-SYN,CHECKING,****5334,CAD,700051.2,563513.84,0.0,2.46,0,2017-01-25,2022-04-05,ACTIVE,BR-0001,2026-01-10 21:04:43
PMLA-A000061-SYN,PMLA-C000048-SYN,CHECKING,****6688,CAD,11523.28,10852.4,0.0,3.62,0,2008-06-14,2017-12-20,ACTIVE,BR-0009,2026-01-10 21:04:43
PMLA-A000062-SYN,PMLA-C000699-SYN,JOINT,****4314,CAD,11474.67,11113.65,0.0,0.75,2000,2006-10-23,2024-10-13,CLOSED,BR-0025,2026-01-10 21:04:43
PMLA-A000063-SYN,PMLA-C000461-SYN,JOINT,****1213,CAD,33754.51,31671.01,0.0,3.96,0,2020-05-14,2020-12-19,ACTIVE,BR-0024,2026-01-10 21:04:43
PMLA-A000064-SYN,PMLA-C001028-SYN,CHECKING,****6219,CAD,8446.12,8072.54,63.44,0.46,2000,2005-06-19,2007-11-12,ACTIVE,BR-0034,2026-01-10 21:04:43
PMLA-A000065-SYN,PMLA-C000216-SYN,JOINT,****8929,CAD,1560.22,1452.08,0.0,0.07,0,2005-01-07,2013-11-16,ACTIVE,BR-0034,2026-01-10 21:04:43
PMLA-A000066-SYN,PMLA-C001320-SYN,CHECKING,****6093,CAD,1034.63,945.5,0.0,2.11,500,2014-09-19,2018-07-24,ACTIVE,BR-0030,2026-01-10 21:04:43
PMLA-A000067-SYN,PMLA-C000909-SYN,SAVINGS,****8903,CAD,33316.09,28126.11,186.96,1.75,2000,2013-07-09,2014-04-13,ACTIVE,BR-0011,2026-01-10 21:04:43
PMLA-A000068-SYN,PMLA-C001368-SYN,CHECKING,****1278,CAD,3884.28,3381.61,0.0,0.29,2000,2019-08-07,2024-01-23,ACTIVE,BR-0005,2026-01-10 21:04:43
PMLA-A000069-SYN,PMLA-C000719-SYN,CHECKING,****4645,CAD,587.76,477.02,0.0,4.1,500,2019-06-13,2021-05-02,ACTIVE,BR-0027,2026-01-10 21:04:43
PMLA-A000070-SYN,PMLA-C000154-SYN,JOINT,****6645,CAD,10918.09,10107.84,0.0,3.62,5000,2020-09-29,2022-05-18,ACTIVE,BR-0009,2026-01-10 21:04:43
PMLA-A000071-SYN,PMLA-C001399-SYN,CHECKING,****7694,CAD,13166.95,12275.91,0.0,0.88,5000,2023-04-24,2024-10-22,ACTIVE,BR-0006,2026-01-10 21:04:43
PMLA-A000072-SYN,PMLA-C001308-SYN,SAVINGS,****7675,CAD,16688.71,14803.28,0.0,4.48,5000,2016-09-16,2022-04-20,ACTIVE,BR-0041,2026-01-10 21:04:43
PMLA-A000073-SYN,PMLA-C000509-SYN,CHECKING,****7953,CAD,1194.89,990.38,245.39,1.31,0,2011-05-19,2020-07-04,ACTIVE,BR-0020,2026-01-10 21:04:43
PMLA-A000074-SYN,PMLA-C000267-SYN,SAVINGS,****9560,CAD,1021.7,940.79,86.12,3.82,0,2018-07-09,2023-03-27,ACTIVE,BR-0036,2026-01-10 21:04:43
PMLA-A000075-SYN,PMLA-C001453-SYN,BUSINESS,****7187,CAD,2904.58,2600.63,0.0,0.47,500,2018-03-20,2021-12-31,ACTIVE,BR-0009,2026-01-10 21:04:43
PMLA-A000076-SYN,PMLA-C001372-SYN,JOINT,****4652,CAD,6200.58,5278.06,0.0,2.0,1000,2022-03-28,2022-12-20,DORMANT,BR-0030,2026-01-10 21:04:43
PMLA-A000077-SYN,PMLA-C000871-SYN,SAVINGS,****7571,CAD,11234.8,9731.75,0.0,1.86,500,2012-08-26,2014-02-22,ACTIVE,BR-0005,2026-01-10 21:04:43
PMLA-A000078-SYN,PMLA-C000944-SYN,SAVINGS,****6369,CAD,7716.58,6874.36,0.0,3.75,0,2007-05-05,2021-05-16,ACTIVE,BR-0029,2026-01-10 21:04:43
PMLA-A000079-SYN,PMLA-C000532-SYN,SAVINGS,****6118,CAD,5203.76,4701.76,0.0,2.46,500,2020-04-26,2020-12-25,ACTIVE,BR-0028,2026-01-10 21:04:43
PMLA-A000080-SYN,PMLA-C000095-SYN,CHECKING,****3891,CAD,2122.01,2068.4,0.0,1.16,500,2016-02-11,2019-05-01,ACTIVE,BR-0049,2026-01-10 21:04:43
PMLA-A000081-SYN,PMLA-C001108-SYN,BUSINESS,****5068,CAD,47994.82,43072.5,0.0,1.59,2000,2017-01-15,2018-03-27,ACTIVE,BR-0007,2026-01-10 21:04:43
PMLA-A000082-SYN,PMLA-C000211-SYN,CHECKING,****8577,CAD,6846.65,6255.34,0.0,3.99,500,2019-06-18,2024-02-08,ACTIVE,BR-0042,2026-01-10 21:04:43
PMLA-A000083-SYN,PMLA-C000481-SYN,BUSINESS,****1134,CAD,1528.52,1263.98,0.0,0.62,2000,2023-01-21,2024-06-05,ACTIVE,BR-0021,2026-01-10 21:04:43
PMLA-A000084-SYN,PMLA-C000788-SYN,SAVINGS,****2574,CAD,711.18,609.02,0.0,4.1,1000,2019-07-08,2019-08-05,DORMANT,BR-0001,2026-01-10 21:04:43
PMLA-A000085-SYN,PMLA-C001345-SYN,CHECKING,****1732,CAD,6585.29,5612.54,0.0,2.78,2000,2009-04-25,2016-08-14,ACTIVE,BR-0019,2026-01-10 21:04:43
PMLA-A000086-SYN,PMLA-C000067-SYN,CHECKING,****7815,CAD,1986.37,1809.62,262.34,4.18,500,2008-06-20,2020-10-21,ACTIVE,BR-0021,2026-01-10 21:04:43
PMLA-A000087-SYN,PMLA-C000859-SYN,CHECKING,****1007,CAD,5032.9,4222.72,0.0,2.46,2000,2009-01-01,2020-10-01,ACTIVE,BR-0041,2026-01-10 21:04:43
PMLA-A000088-SYN,PMLA-C000328-SYN,JOINT,****4123,CAD,11441.43,9314.52,271.2,4.05,2000,2022-08-18,2024-03-24,ACTIVE,BR-0011,2026-01-10 21:04:43
PMLA-A000089-SYN,PMLA-C000419-SYN,CHECKING,****7001,CAD,2416.63,2101.69,33.88,2.61,5000,2020-11-14,2021-03-15,ACTIVE,BR-0050,2026-01-10 21:04:43
PMLA-A000090-SYN,PMLA-C001390-SYN,BUSINESS,****6050,CAD,525.19,518.06,0.0,1.85,1000,2007-11-06,2019-11-29,ACTIVE,BR-0016,2026-01-10 21:04:43
PMLA-A000091-SYN,PMLA-C000627-SYN,SAVINGS,****9857,CAD,13139.12,12232.54,0.0,1.59,0,2018-02-04,2018-09-09,ACTIVE,BR-0050,2026-01-10 21:04:43
PMLA-A000092-SYN,PMLA-C000470-SYN,SAVINGS,****3433,CAD,20946.11,19477.62,0.0,2.95,5000,2010-05-19,2024-01-14,ACTIVE,BR-0028,2026-01-10 21:04:43
PMLA-A000093-SYN,PMLA-C000167-SYN,CHECKING,****3450,CAD,5876.89,4802.94,0.0,2.71,0,2019-11-12,2024-04-15,ACTIVE,BR-0040,2026-01-10 21:04:43
PMLA-A000094-SYN,PMLA-C000609-SYN,CHECKING,****1690,CAD,7087.88,6514.89,307.57,3.29,0,2006-06-13,2012-08-11,ACTIVE,BR-0017,2026-01-10 21:04:43
PMLA-A000095-SYN,PMLA-C001108-SYN,CHECKING,****3649,CAD,6868.06,5957.61,0.0,2.42,2000,2006-10-25,2012-11-17,ACTIVE,BR-0003,2026-01-10 21:04:43
PMLA-A000096-SYN,PMLA-C000090-SYN,BUSINESS,****7518,CAD,3415.09,3100.95,0.0,3.98,500,2017-12-05,2018-03-02,ACTIVE,BR-0036,2026-01-10 21:04:43
PMLA-A000097-SYN,PMLA-C001306-SYN,SAVINGS,****9154,CAD,4488.42,3779.54,0.0,2.99,1000,2019-11-07,2022-05-09,ACTIVE,BR-0010,2026-01-10 21:04:43
PMLA-A000098-SYN,PMLA-C001346-SYN,SAVINGS,****7121,CAD,829.78,733.8,0.0,3.1,1000,2018-11-02,2023-08-06,ACTIVE,BR-0047,2026-01-10 21:04:43
PMLA-A000099-SYN,PMLA-C000027-SYN,CHECKING,****4458,CAD,12267.61,10187.87,0.0,1.33,1000,2005-01-12,2022-08-19,ACTIVE,BR-0003,2026-01-10 21:04:43
PMLA-A000100-SYN,PMLA-C000009-SYN,CHECKING,****8347,CAD,2330.83,2008.37,0.0,1.92,5000,2008-01-15,2016-02-07,ACTIVE,BR-0031,2026-01-10 21:04:43
PMLA-A000101-SYN,PMLA-C001411-SYN,SAVINGS,****8505,CAD,21748.24,21542.27,471.96,2.4,1000,2015-11-14,2020-10-18,ACTIVE,BR-0035,2026-01-10 21:04:43
PMLA-A000102-SYN,PMLA-C001235-SYN,SAVINGS,****6036,CAD,12140.52,11351.01,0.0,3.69,500,2005-08-31,2006-09-08,ACTIVE,BR-0011,2026-01-10 21:04:43
PMLA-A000103-SYN,PMLA-C000398-SYN,CHECKING,****5082,CAD,20901.21,19969.67,0.0,2.5,500,2005-05-07,2016-08-03,ACTIVE,BR-0025,2026-01-10 21:04:43
PMLA-A000104-SYN,PMLA-C000704-SYN,SAVINGS,****6304,CAD,3493.73,3407.65,0.0,3.26,2000,2015-01-29,2023-08-16,ACTIVE,BR-0033,2026-01-10 21:04:43
PMLA-A000105-SYN,PMLA-C000976-SYN,SAVINGS,****2827,CAD,962.86,780.16,0.0,1.59,2000,2016-10-11,2023-12-19,ACTIVE,BR-0016,2026-01-10 21:04:43
PMLA-A000106-SYN,PMLA-C000488-SYN,CHECKING,****9334,CAD,5029.9,4481.76,0.0,0.54,1000,2011-05-30,2019-10-01,ACTIVE,BR-0043,2026-01-10 21:04:43
PMLA-A000107-SYN,PMLA-C000789-SYN,JOINT,****2735,CAD,4613.13,4172.65,0.0,2.92,500,2009-10-03,2021-10-01,ACTIVE,BR-0024,2026-01-10 21:04:43
PMLA-A000108-SYN,PMLA-C001341-SYN,SAVINGS,****2690,CAD,5751.04,4883.96,75.88,0.35,5000,2018-11-02,2023-12-31,ACTIVE,BR-0030,2026-01-10 21:04:43
PMLA-A000109-SYN,PMLA-C001472-SYN,BUSINESS,****5825,CAD,10030.5,8412.94,0.0,1.2,5000,2006-12-15,2007-01-04,ACTIVE,BR-0034,2026-01-10 21:04:43
PMLA-A000110-SYN,PMLA-C000679-SYN,SAVINGS,****5445,CAD,1616.49,1616.11,0.0,2.87,2000,2018-07-16,2022-12-01,ACTIVE,BR-0034,2026-01-10 21:04:43
PMLA-A000111-SYN,PMLA-C001092-SYN,SAVINGS,****2485,CAD,4977.33,4505.92,0.0,2.07,1000,2018-01-23,2021-08-10,ACTIVE,BR-0004,2026-01-10 21:04:43
PMLA-A000112-SYN,PMLA-C001105-SYN,CHECKING,****2103,CAD,13591.15,12088.04,0.0,0.17,0,2011-07-28,2018-10-10,ACTIVE,BR-0005,2026-01-10 21:04:43
PMLA-A000113-SYN,PMLA-C000274-SYN,BUSINESS,****5901,CAD,705254.87,692092.21,265.76,4.18,1000,2014-06-02,2021-05-20,ACTIVE,BR-0049,2026-01-10 21:04:43
PMLA-A000114-SYN,PMLA-C000904-SYN,CHECKING,****3794,CAD,661.82,541.43,0.0,2.34,2000,2014-07-01,2024-03-20,ACTIVE,BR-0034,2026-01-10 21:04:43
PMLA-A000115-SYN,PMLA-C001423-SYN,CHECKING,****4865,CAD,6261.56,6247.85,0.0,3.23,500,2020-06-21,2021-06-17,ACTIVE,BR-0045,2026-01-10 21:04:43
PMLA-A000116-SYN,PMLA-C001057-SYN,BUSINESS,****2270,CAD,1797.06,1712.91,405.48,2.1,500,2006-04-03,2013-09-20,ACTIVE,BR-0019,2026-01-10 21:04:43
PMLA-A000117-SYN,PMLA-C001222-SYN,SAVINGS,****3520,CAD,3983.98,3557.43,0.0,4.31,500,2007-10-26,2019-08-02,ACTIVE,BR-0003,2026-01-10 21:04:43
PMLA-A000118-SYN,PMLA-C000778-SYN,BUSINESS,****5485,CAD,16118.15,13796.6,0.0,0.82,2000,2005-01-24,2009-09-24,ACTIVE,BR-0024,2026-01-10 21:04:43
PMLA-A000119-SYN,PMLA-C000815-SYN,BUSINESS,****9115,CAD,3857.85,3218.26,0.0,1.63,0,2011-03-26,2017-04-06,ACTIVE,BR-0047,2026-01-10 21:04:43
PMLA-A000120-SYN,PMLA-C000466-SYN,SAVINGS,****1713,CAD,1799.14,1707.18,0.0,2.42,500,2012-11-15,2021-08-02,ACTIVE,BR-0049,2026-01-10 21:04:43
PMLA-A000121-SYN,PMLA-C000290-SYN,SAVINGS,****3760,CAD,2358.5,2307.36,466.4,3.61,500,2023-06-09,2023-07-25,ACTIVE,BR-0005,2026-01-10 21:04:43
PMLA-A000122-SYN,PMLA-C000237-SYN,SAVINGS,****3215,CAD,983.8,953.43,0.0,1.21,5000,2010-01-23,2021-02-02,ACTIVE,BR-0024,2026-01-10 21:04:43
PMLA-A000123-SYN,PMLA-C000857-SYN,CHECKING,****4929,CAD,1973.15,1811.38,0.0,3.47,5000,2017-08-13,2020-07-15,ACTIVE,BR-0040,2026-01-10 21:04:43
PMLA-A000124-SYN,PMLA-C001154-SYN,SAVINGS,****1717,CAD,5435.72,5127.59,0.0,4.32,500,2022-06-13,2023-12-02,ACTIVE,BR-0040,2026-01-10 21:04:43
PMLA-A000125-SYN,PMLA-C000257-SYN,CHECKING,****6154,CAD,17272.86,15242.86,173.5,1.46,5000,2014-02-09,2022-09-09,ACTIVE,BR-0048,2026-01-10 21:04:43
PMLA-A000126-SYN,PMLA-C000079-SYN,SAVINGS,****3180,CAD,5536.7,4616.77,0.0,1.14,0,2019-06-25,2019-10-28,ACTIVE,BR-0045,2026-01-10 21:04:43
PMLA-A000127-SYN,PMLA-C000131-SYN,SAVINGS,****2650,CAD,924.89,785.46,0.0,1.54,0,2017-11-17,2018-11-24,ACTIVE,BR-0046,2026-01-10 21:04:43
PMLA-A000128-SYN,PMLA-C000301-SYN,CHECKING,****3366,CAD,22707.53,20680.99,0.0,4.12,0,2023-09-10,2024-01-26,ACTIVE,BR-0050,2026-01-10 21:04:43
PMLA-A000129-SYN,PMLA-C000269-SYN,CHECKING,****3559,CAD,3276.4,2778.29,0.0,3.11,0,2019-04-08,2019-06-08,ACTIVE,BR-0013,2026-01-10 21:04:43
PMLA-A000130-SYN,PMLA-C000265-SYN,SAVINGS,****5337,CAD,7850.32,6802.95,0.0,3.76,5000,2015-01-15,2016-02-11,ACTIVE,BR-0015,2026-01-10 21:04:43
PMLA-A000131-SYN,PMLA-C000687-SYN,SAVINGS,****7683,CAD,885.73,850.27,0.0,4.05,5000,2010-03-02,2023-07-15,ACTIVE,BR-0030,2026-01-10 21:04:43
PMLA-A000132-SYN,PMLA-C001187-SYN,SAVINGS,****1004,CAD,1445.75,1168.09,0.0,1.11,500,2013-02-20,2021-08-03,ACTIVE,BR-0032,2026-01-10 21:04:43
PMLA-A000133-SYN,PMLA-C000384-SYN,SAVINGS,****7904,CAD,2583.13,2451.85,98.9,0.85,500,2007-09-27,2014-04-10,ACTIVE,BR-0039,2026-01-10 21:04:43
PMLA-A000134-SYN,PMLA-C001369-SYN,CHECKING,****3986,CAD,116559.58,97775.89,0.0,0.3,2000,2017-03-25,2019-02-03,ACTIVE,BR-0011,2026-01-10 21:04:43
PMLA-A000135-SYN,PMLA-C000381-SYN,SAVINGS,****2355,CAD,12181.56,12032.48,0.0,3.25,500,2008-08-08,2016-03-06,ACTIVE,BR-0002,2026-01-10 21:04:43
PMLA-A000136-SYN,PMLA-C000788-SYN,CHECKING,****2219,CAD,8093.95,7022.95,0.0,2.66,500,2008-03-30,2013-11-20,ACTIVE,BR-0025,2026-01-10 21:04:43
