application_id,gt_person_id,link_shared_id,bank_internal_id,application_ts,product,amount_requested,term_months,interest_rate,birth_year,sex,home_postal_fsa,home_province,home_lat,home_lng,employment_type,employer_industry,employment_tenure_months,pay_frequency,dependents,residence_months,declared_income_cad,verified_income_cad,avg_balance_3m_cad,inflow_payroll_3m_cad,card_spend_3m_cad,atm_withdraw_3m_cad,nsf_count_3m,late_fee_count_3m,overdraft_days_3m,device_type,browser,os,device_id,ip_lat,ip_lng,internal_risk_score,default_12m,created_at,updated_at,source_system
47,4306,970dee140daf3d20,a043a95195d8989a,2025-07-26 12:32:54,PersonalLoan,43765.65,12,0.1259,1973,F,R3C,SK,,,Part-time,Energy,50,monthly,1,95,54017.82,56641.52,2851.99,17979.46,10067.83,457.52,0,0,1,mobile,Firefox,Android,d4306_296,26.130066169740786,-104.48193178854194,0.18845114857607823,False,2025-07-15,2025-07-30,bank_app_v1
48,2806,,dbd00921a606afcb,2025-01-23 15:47:16,CreditCard,10970.6,36,0.1667,1985,F,N8A,NT,62.61621412730311,-114.31432049422656,Retired,Hospitality,8,monthly,0,114,88925.75,85037.22,787.76,8397.47,3366.65,182.25,0,0,2,mobile,Safari,Windows,d2806_537,62.61621412730311,-114.31432049422656,0.3329966858518528,False,2025-01-22,2025-01-29,bank_app_v1
49,6551,750e0dcbf6239112,e177a3d25237eb79,2025-02-07 10:11:47,AutoLoan,12205.51,72,0.1135,1980,M,E0R,MB,49.754646078192714,-97.28781774073325,Part-time,Education,45,biweekly,0,97,55297.17,43209.41,4242.25,2378.14,5165.03,88.89,0,0,2,desktop,Edge,Linux,d6551_449,49.754646078192714,-97.28781774073325,0.37004611652285246,False,2025-01-30,2025-02-10,bank_app_v1
50,5118,,43a8e3345237d884,2025-06-06 14:12:08,PersonalLoan,7583.82,24,0.0892,1962,F,J9E,MB,50.08518483245962,-96.97480044336949,Full-time,Healthcare,25,biweekly,3,34,36328.58,34103.82,1978.72,7597.86,3324.8,362.13,1,0,1,mobile,Firefox,Android,d5118_201,50.08518483245962,-96.97480044336949,0.3864972871414262,False,2025-05-31,2025-06-08,bank_app_v1
51,6487,27917ea4a55e0492,04695accfa260a93,2025-05-19 15:20:35,CreditCard,9898.12,24,0.1786,1999,F,S9G,NB,46.38850066026316,-64.7097167243611,Self-employed,Healthcare,18,monthly,1,120,62006.61,56064.9,11794.14,17644.35,1345.89,1161.81,1,0,0,mobile,Other,iOS,d6487_371,46.38850066026316,-64.7097167243611,0.33772600406967485,False,2025-05-13,2025-05-24,bank_app_v1
52,1754,,01555c6639c3b277,2025-07-31 13:41:17,LineOfCredit,100000.0,48,0.1128,2002,F,A8P,MB,,,Full-time,Hospitality,3,biweekly,1,76,73607.21,72173.45,1941.48,3725.35,1510.69,320.92,1,1,1,mobile,Edge,iOS,d1754_325,29.14548091339897,-77.19338771729676,0.41196777234039283,False,2025-07-23,2025-07-31,bank_app_v1
53,947,,5df812c0245860ec,2025-03-09 18:25:32,LineOfCredit,6973.1,24,0.106,1999,M,K2T,NT,62.612169853768165,-114.21789703714937,Contract,Energy,61,monthly,2,0,71730.57,54467.93,9697.65,19869.13,9412.88,216.24,0,0,2,mobile,Firefox,macOS,d947_166,62.612169853768165,-114.21789703714937,0.18261835120639597,True,2025-03-08,2025-03-14,bank_app_v1
54,1302,24c10e1a19a013ea,cdbea643df0f56c3,2025-07-26 12:57:35,PersonalLoan,100000.0,72,0.1009,1950,F,T4N,MB,49.70053617816246,-97.1498545498242,Self-employed,Transportation,9,monthly,1,20,21193.53,17907.8,3634.57,5589.5,11467.09,1964.39,0,1,0,mobile,Chrome,macOS,d1302_445,49.70053617816246,-97.1498545498242,0.239502938184959,False,2025-07-17,2025-07-29,bank_app_v1
55,238,,198f4c6f462af3d7,2025-08-06 17:20:04,CreditCard,1772.82,24,0.1757,1948,M,K0T,MB,,,Contract,Healthcare,69,biweekly,1,0,46635.82,50162.56,1476.88,11801.99,745.91,309.08,0,0,1,mobile,Firefox,Android,d238_142,,,0.14553412116349237,False,2025-07-25,2025-08-10,bank_app_v1
56,3358,47f40b6db6383861,c7ba9aa99e31c08a,2025-02-13 17:49:19,AutoLoan,2452.26,36,0.1072,1996,F,V1K,AB,,,Self-employed,Education,0,monthly,2,88,68901.88,47115.74,15273.13,3498.67,3010.54,1108.91,0,0,0,desktop,Firefox,Linux,d3358_104,,,0.2535213905947685,False,2025-02-10,2025-02-17,bank_app_v1
57,4521,,f24969ed4375c3e9,2025-04-16 09:21:16,LineOfCredit,22359.81,60,0.1765,1980,F,P2P,QC,45.46061832563049,-75.6471681635002,Retired,Government,0,biweekly,0,97,100950.89,86396.97,24548.05,25720.63,9631.68,164.42,0,2,0,mobile,Edge,Linux,d4521_405,45.46061832563049,-75.6471681635002,0.25146696023909265,False,2025-04-13,2025-04-19,bank_app_v1
58,2712,7ded2bafa90f3ad4,bd7f9d52dbf36ae2,2025-08-04 13:46:45,CreditCard,24866.45,60,0.1505,1971,M,K7X,NL,47.633593005014816,-52.74909769443161,Retired,Retail,124,weekly,0,0,91770.14,79655.31,670.9,3562.44,2123.45,973.49,0,0,0,mobile,Other,iOS,d2712_857,47.633593005014816,-52.74909769443161,0.5654814053922214,False,2025-07-25,2025-08-08,bank_app_v1
59,1681,,068855486bb32acb,2025-02-05 12:21:51,PersonalLoan,11115.11,24,0.0947,1978,M,M4B,MB,,,Full-time,Construction,70,monthly,1,66,76166.6,76567.02,8274.94,7739.72,2835.31,1139.01,0,0,3,desktop,Chrome,Windows,d1681_478,,,0.19074426679167383,False,2025-01-22,2025-02-07,bank_app_v1
60,1736,,b7502da069671551,2025-08-09 14:18:17,AutoLoan,8712.23,24,0.0663,1967,M,L7R,NT,62.366165982561625,-114.44967523333358,Full-time,Retail,16,biweekly,2,35,22348.89,24633.17,6434.35,15005.35,2365.36,240.24,0,0,3,mobile,Safari,iOS,d1736_655,62.366165982561625,-114.44967523333358,0.5987776079083142,True,2025-08-02,2025-08-10,bank_app_v1
61,7689,ac075bc639d385a9,16d1b9b7052b7e50,2025-08-04 13:00:38,LineOfCredit,2059.66,72,0.0967,1963,F,L3K,QC,45.80469775210611,-73.471074234007,Full-time,Healthcare,42,monthly,1,101,98128.76,110525.92,714.87,2322.18,10466.14,802.69,0,1,1,desktop,Other,Android,d7689_865,45.80469775210611,-73.471074234007,0.4072631408042471,False,2025-07-30,2025-08-10,bank_app_v1
62,8969,3ff75178b4dc9e21,9e126257f0b665d2,2025-05-13 11:08:33,CreditCard,8394.28,60,0.1658,1945,F,S6H,ON,43.18230973048389,-81.09569002830219,Student,Government,141,biweekly,2,73,52231.81,49812.51,836.11,15520.82,6474.8,424.11,0,0,0,mobile,Chrome,macOS,d8969_286,43.18230973048389,-81.09569002830219,0.19708280583609522,False,2025-05-11,2025-05-14,bank_app_v1
63,7415,6b3cde77db6027d2,be85b3271f4bb907,2025-07-28 11:58:56,CreditCard,1246.72,36,0.1791,1966,X,M6G,NB,45.90067234728786,-66.6691329837394,Student,Finance,60,monthly,0,118,103986.0,82811.65,8848.49,6396.06,2283.57,375.83,0,1,1,mobile,Firefox,iOS,d7415_836,45.90067234728786,-66.6691329837394,0.3232030923945509,False,2025-07-24,2025-08-03,bank_app_v1
64,7984,b474c34bb04680b0,e80d28b9b697b555,2025-08-10 19:15:50,LineOfCredit,32440.41,12,0.0896,1946,M,P9E,QC,45.590150677602736,-73.72887332395266,Self-employed,Energy,6,weekly,1,36,80407.82,89169.91,2650.9,10970.65,9205.79,303.03,0,1,4,mobile,Edge,macOS,d7984_958,45.590150677602736,-73.72887332395266,0.04924201032906633,False,2025-07-30,2025-08-10,bank_app_v1
65,8022,a7d27578b75e49bc,2ecf62a186d13bfa,2025-06-24 16:38:58,AutoLoan,11691.28,12,0.1119,1962,M,T2Y,NB,45.26257817730068,-66.10753983587402,Full-time,Retail,61,monthly,3,102,61028.03,49653.21,3296.8,1840.45,3002.3,144.04,0,0,2,mobile,Firefox,Linux,d8022_732,45.26257817730068,-66.10753983587402,0.17209833229659685,False,2025-06-19,2025-06-26,bank_app_v1
66,2031,7cfb4e6283352240,2609a0bf65e9b1aa,2025-02-02 15:42:27,AutoLoan,18582.29,72,0.0791,1977,F,L0S,ON,,,Retired,Construction,94,biweekly,2,140,43543.97,50204.2,1008.8,10588.24,4116.48,145.43,0,0,3,desktop,Other,iOS,d2031_628,,,0.0,False,2025-01-22,2025-02-03,bank_app_v1
