ID,SEX,CITY,PROVINCE,FULLNAME,AGE,IsMarried,FAMILYID,RACE,Income,IsHomeOwner,HOMEVALUE,RENTVALUE,IsEduBachelors,IsUnemployed,AME,AMB,credit_score,AccountType,account_age,avg12_tx,BankIsPrimary,avg12_tx_volume,loan_status,credit_card_status,overdraft_usage,branch_visits,digital_usage_level,customer_service,complaints_filed,satisfaction_level,MobilePhone,CardNumber,CardType,Email,BankPresenceRating,ChurnProbability,AGE_bin,RACE_gen,Income_bin,HOMEVALUE_bin,RENTVALUE_bin,_k_score
38458,F,Toronto,ON,LAFLECHE STEPHANE,23,False,,Asian,57692.0,False,0.0,1173.0,True,False,1626,6899.95,479.0,Credit,10,13.51,False,21.65,,False,True,9,Medium,2,0,6,905-940-3628T,4510 1320T 0689 2807,CREDIT,TLS47949@synth.gmail.com,0.15,0.13,18-25,OTHER,30k-60k,0-200k,1k-2k,10
34705,F,Toronto,ON,MCKAY NATALIE,28,False,,White,59363.0,True,934599.0,0.0,True,False,3199,9525.76,670.0,Checking,10,0.85,False,18.5,Mortgage,True,False,0,Low,6,1,6,289-785-1072T,4512 2336T 2771 7421,CREDIT,TMN7047@rand.hotmail.com,0.15,0.36,26-35,White,30k-60k,500k-1M,0-500,5
4573,M,Toronto,ON,JOHN SMITH MD,26,False,,White,93429.0,True,1067916.0,0.0,True,False,3617,23679.2,688.0,Credit; Checking,16,16.84,False,50.75,Personal Loan,True,True,0,Medium,2,1,5,249-352-4963T,4519 9294T 5172 4701,DEBIT,TJS514827230@fake.netZero.com,0.15,0.21,18-25,White,60k-100k,1M-2M,0-500,10
21798,F,Toronto,ON,ROBILLARD LISE,27,False,,Asian,76234.0,True,1179571.0,0.0,True,False,4119,26187.17,709.0,Credit,7,10.23,False,15.96,Mortgage,True,True,0,Medium,2,3,3,807-639-7825T,4510 1623T 3520 9737,DEBIT,TROBILLARD_LISE97@rand.cogeco.ca,0.15,0.47,26-35,OTHER,60k-100k,1M-2M,0-500,63
104599,F,Vancouver,BC,CURISTON CAROLIN,45,True,,Asian,99522.0,True,1355061.0,0.0,True,False,4704,70540.14,787.0,Checking; Joint,4,93.0,True,3358.75,Mortgage,False,False,0,High,4,1,6,672-442-6969T,4510 1613T 7093 1235,DEBIT,TCC0499123@rand.aol.com,0.13,0.11,36-45,OTHER,60k-100k,1M-2M,0-500,12
95426,M,Montreal,QC,BOUCHARD ANDRE,48,True,mRcuQigL,White,74848.0,True,768331.0,0.0,True,False,4438,33316.07,737.0,Credit,30,48.0,True,2909.4,Personal Loan,True,True,1,High,5,4,1,263-328-6622T,4514 0159T 9184 0100,CREDIT,TBA33682698@rand.outlook.com,0.18,0.19,46-55,White,60k-100k,500k-1M,0-500,6
92316,F,Montreal,QC,ROCHEFORT GINETTE,46,False,,White,73888.0,True,653939.0,0.0,False,False,3269,17939.35,692.0,Credit,23,72.0,True,2149.82,Mortgage,False,False,11,High,4,3,4,579-789-1726T,4512 2384T 7351 6678,CREDIT,TRG4428670732@non.outlook.com,0.18,0.27,36-45,White,60k-100k,500k-1M,0-500,6
62431,F,Toronto,ON,WIEBE MELANIE,34,False,,White,83936.0,True,1002949.0,0.0,True,False,3046,33565.25,716.0,Checking; Investment; Credit,8,8.35,False,30.47,Auto Loan,True,False,0,Low,4,0,6,753-186-9049T,4510 1573T 9321 1587,CREDIT,TWM651043@fake.bla.com,0.15,0.05,26-35,White,60k-100k,1M-2M,0-500,37
30080,F,Toronto,ON,SMITH MARY,24,False,,Asian,64612.0,False,0.0,1083.0,True,False,1961,5722.01,512.0,Checking; Credit; Savings,4,14.41,False,20.08,,False,True,0,Medium,2,3,2,613-416-9252T,4514 0186T 7172 9684,CREDIT,TSM438511@test.proton.com,0.15,0.37,18-25,OTHER,60k-100k,0-200k,1k-2k,8
183278,F,Mississauga,ON,WOOD KRISTA,35,True,,Asian,96779.0,True,1273850.0,0.0,True,False,6381,46139.57,753.0,Credit,10,76.0,True,4101.47,Personal Loan,True,False,4,High,4,0,5,226-256-3414T,4519 9268T 2646 9074,DEBIT,TWK95779@non.hotmail.com,0.17,0.11,26-35,OTHER,60k-100k,1M-2M,0-500,8
71242,M,Toronto,ON,WILLIAMS JOHN,31,True,,Asian,74898.0,True,1138190.0,0.0,True,False,3897,10939.05,730.0,Checking,18,12.13,False,26.8,Mortgage,True,False,0,Medium,2,2,3,753-933-3035T,4519 9298T 3321 6645,DEBIT,TWILLIAMSJOHN@rand.mail.com,0.15,0.14,26-35,OTHER,60k-100k,1M-2M,0-500,19
36673,M,Toronto,ON,CLOUDSDALE BRIAN,26,False,,Black,68116.0,True,1137251.0,0.0,True,False,3976,5166.73,668.0,Credit; Checking,15,11.97,False,28.91,Mortgage,True,True,10,Medium,2,1,5,249-955-5447T,4510 1385T 0654 8481,CREDIT,TCLOUDSDALEM81@test.hotmail.com,0.15,0.51,18-25,OTHER,60k-100k,1M-2M,0-500,5
54427,F,Toronto,ON,POWNALL ANNITA,34,False,,White,56489.0,True,972742.0,0.0,True,False,2962,10049.97,680.0,Checking,15,9.24,False,20.17,Mortgage,True,True,0,Low,5,0,8,416-839-3687T,4510 1695T 7327 6343,DEBIT,TPA0881362853@synth.zoho.com,0.15,0.14,26-35,White,30k-60k,500k-1M,0-500,5
208381,M,London,ON,LAMBERT JAMES,46,False,,White,85701.0,True,748450.0,0.0,True,False,3627,68028.47,730.0,Credit; Checking; Investment,33,10.58,False,52.7,Mortgage,True,False,0,Medium,2,1,4,647-909-7682T,5415 9059T 8817 6800,CREDIT,TLJ2365@test.icloud.com,0.17,0.08,36-45,White,60k-100k,500k-1M,0-500,5
113592,F,Vancouver,BC,MACKAY SANDRA,43,False,,White,88717.0,True,1232308.0,0.0,False,False,3740,12576.0,658.0,Checking; Investment; Credit,16,46.0,True,2500.24,,False,False,0,Medium,7,3,3,250-199-5611T,4519 9266T 7671 5465,DEBIT,TMS825529171@synth.mail.com,0.13,0.46,36-45,White,60k-100k,1M-2M,0-500,5
10944,F,Toronto,ON,DEACON TANYA,49,True,hYuzcfzI,Asian,80950.0,True,1256963.0,0.0,True,False,5874,37957.95,760.0,Joint,18,120.0,True,3417.54,Mortgage,False,False,0,High,4,2,6,365-943-3781T,4510 1398T 5111 9401,CREDIT,TDT4638@test.proton.com,0.15,0.08,46-55,OTHER,60k-100k,1M-2M,0-500,11
117574,M,Vancouver,BC,HAWE ANTHONY,30,False,,Asian,131675.0,True,1097741.0,0.0,True,False,2800,26548.75,748.0,Credit,10,12.08,False,2.32,Mortgage,True,False,0,Low,5,2,4,672-847-6871T,4510 1589T 4600 5442,CREDIT,THA5170673191@rand.hotmail.com,0.13,0.1,26-35,OTHER,100k-200k,1M-2M,0-500,8
169856,F,Hamilton,ON,WILSON MELISSA,32,False,,White,77360.0,True,781926.0,0.0,True,False,3507,9106.63,693.0,Investment; Checking,4,73.0,True,2575.19,Mortgage,True,False,12,High,5,1,5,343-898-9397T,4512 2372T 7085 8594,CREDIT,TtruthfulWildfowl2WIME@rand.netZero.com,0.15,0.08,26-35,White,60k-100k,500k-1M,0-500,6
94600,F,Montreal,QC,HENRY KATIE,31,False,,White,82814.0,True,657311.0,0.0,True,False,4389,25070.9,699.0,Credit,10,11.26,False,25.65,,False,True,2,Medium,2,0,6,263-933-3235T,4510 1557T 8338 9368,CREDIT,THK5232882794@test.hotmail.com,0.18,0.12,26-35,White,60k-100k,500k-1M,0-500,28
41606,M,Toronto,ON,STAATS RICK,32,True,,Asian,112516.0,True,1159833.0,0.0,False,False,7137,16101.62,729.0,Joint,10,16.46,False,10.79,Mortgage,True,False,0,Medium,2,3,2,416-354-6533T,4519 9275T 7104 2170,DEBIT,TSR09794@test.zoho.com,0.15,0.2,26-35,OTHER,100k-200k,1M-2M,0-500,6
109585,M,Vancouver,BC,PILKINGTON DOUG,43,True,,Asian,81915.0,True,1133124.0,0.0,True,False,4677,35774.46,726.0,Joint; Checking; Investment; Credit,7,110.0,True,3171.36,Mortgage,False,False,12,High,4,3,3,778-162-9330T,5415 9072T 0409 5804,CREDIT,TPD535567@synth.neo.com,0.13,0.21,36-45,OTHER,60k-100k,1M-2M,0-500,7
68131,F,Toronto,ON,CHUNG LILY,27,False,,Asian,109828.0,True,1219460.0,0.0,False,False,3999,21554.42,724.0,Checking; Credit; Investment,10,12.74,False,2.08,Mortgage,True,False,0,Medium,2,0,7,647-533-2716T,4512 2354T 8960 3295,CREDIT,TCHUNG_LILY71@synth.mail.com,0.15,0.11,26-35,OTHER,100k-200k,1M-2M,0-500,7
28828,M,Toronto,ON,LICSKAI JOEY,45,False,,Asian,86612.0,True,1220033.0,0.0,True,False,3642,74335.5,752.0,Investment; Credit,10,14.13,False,15.42,Mortgage,True,False,11,Medium,2,2,3,416-261-4631T,4510 1573T 5715 7829,CREDIT,TLJ295764097@test.netZero.com,0.15,0.1,36-45,OTHER,60k-100k,1M-2M,0-500,40
53794,M,Toronto,ON,SALVATORE FRANK,31,False,,White,69619.0,True,975613.0,0.0,True,False,4315,20319.08,692.0,Checking; Credit,4,5.48,False,44.52,Mortgage,False,True,0,Low,6,2,4,683-316-6692T,4519 9250T 3239 3291,DEBIT,TSF75483887@rand.icloud.com,0.15,0.28,26-35,White,60k-100k,500k-1M,0-500,19
67816,M,Toronto,ON,CAMPBELL WILLIAM,38,False,,White,97501.0,True,1022855.0,0.0,True,False,4048,45926.22,752.0,Investment,19,93.0,True,2730.4,Mortgage,True,False,0,High,5,0,3,753-780-1876T,4514 0116T 7363 1498,CREDIT,TCAWIsuperiorLlama81978@test.netZero.com,0.15,0.17,36-45,White,60k-100k,1M-2M,0-500,31
103096,M,Vancouver,BC,OSIKA JULIAN,48,False,,Asian,91256.0,True,1192983.0,0.0,True,False,4327,25798.63,725.0,Credit,37,47.0,True,3277.38,Auto Loan,True,False,12,High,4,0,6,604-778-6805T,4510 1588T 0851 0681,CREDIT,TOJ4469578@synth.iCloud.com,0.13,0.1,46-55,OTHER,60k-100k,1M-2M,0-500,5
28650,M,Toronto,ON,SZABO ERNEST,41,True,,White,80126.0,True,1063770.0,0.0,True,False,4861,55261.81,759.0,Checking,4,37.0,True,2960.51,Mortgage,True,False,9,High,4,4,1,742-669-9297T,5415 9042T 0486 7411,CREDIT,TSE946791@fake.hotmail.com,0.15,0.2,36-45,White,60k-100k,1M-2M,0-500,21
82168,M,Montreal,QC,AMELOTTE GLEN,39,False,,Black,77877.0,True,589819.0,0.0,True,False,3271,11525.44,653.0,Checking,28,13.23,False,20.44,Mortgage,True,False,0,Medium,2,2,4,468-742-5049T,4514 0167T 4146 8938,CREDIT,TAG73972@rand.jumo.com,0.18,0.14,36-45,OTHER,60k-100k,500k-1M,0-500,18
9499,M,Toronto,ON,FASHING JOHN,38,False,,White,158915.0,True,1184682.0,0.0,False,False,13243,24763.39,742.0,Investment,18,90.0,True,8540.97,Auto Loan,False,False,10,High,5,6,1,905-824-4636T,4510 1566T 2965 9980,CREDIT,TFAJOecstaticWildfowl61963@rand.hotmail.com,0.15,0.12,36-45,White,100k-200k,1M-2M,0-500,9
33003,F,Toronto,ON,KINGDOM RICCI,29,True,nr2gqP5R,White,111850.23,True,1001471.0,0.0,True,False,7364,28521.58,778.0,Joint,9,11.97,False,22.39,Mortgage,False,False,0,Low,5,0,6,416-241-7612T,4510 1399T 2953 1735,CREDIT,TKINGDOM_RICCI23@fake.bla.com,0.15,0.14,26-35,White,100k-200k,1M-2M,0-500,7
107838,F,Vancouver,BC,VOLPATTI CHRISTIE,44,True,,White,80786.0,True,1441924.0,0.0,True,False,3816,74365.77,734.0,Checking,7,105.0,True,2902.6,Mortgage,True,True,0,High,4,2,3,778-386-3422T,4510 1331T 6105 5777,CREDIT,TVC513804@fake.jumo.com,0.13,0.04,36-45,White,60k-100k,1M-2M,0-500,9
2482,F,Toronto,ON,HANDFORD MONA,40,False,,White,89512.0,True,1146660.0,0.0,True,False,4046,28537.1,718.0,Checking,28,15.09,False,45.46,,True,False,11,Medium,2,0,6,647-372-4655T,4510 1347T 8630 0967,CREDIT,THM4447987780@non.att.net,0.15,0.05,36-45,White,60k-100k,1M-2M,0-500,42
77276,M,Montreal,QC,BELIVEAU FERNAND,39,True,,White,70253.0,True,569946.0,0.0,True,False,4335,642.73,645.0,Credit,23,71.0,True,2751.92,Mortgage,True,False,0,High,4,1,4,367-170-3466T,4519 9269T 9010 3782,DEBIT,TBF88594930@rand.zoho.com,0.18,0.06,36-45,White,60k-100k,500k-1M,0-500,10
116562,F,Vancouver,BC,DEACON VALERIE,34,False,,White,79933.0,True,1045838.0,0.0,True,False,2783,27167.97,707.0,Investment,18,10.87,False,28.92,Mortgage,True,False,0,Medium,2,1,5,672-551-9025T,4510 1694T 6728 3943,DEBIT,TDV0701636079@rand.neo.com,0.13,0.08,26-35,White,60k-100k,1M-2M,0-500,7
20919,F,Toronto,ON,YOUNG ROSE,46,False,,White,95978.0,True,1192521.0,0.0,True,False,4957,99366.06,776.0,Investment; Checking,34,10.68,False,42.44,Mortgage,True,False,2,Medium,2,0,7,289-826-9962T,4510 1670T 6821 3575,DEBIT,TYR5090922103@rand.gmail.com,0.15,0.05,36-45,White,60k-100k,1M-2M,0-500,42
52838,M,Toronto,ON,JOSHUA BLAKE,31,False,,White,91233.0,True,1287822.0,0.0,False,False,4421,20112.56,689.0,Investment,7,88.0,True,2666.97,Mortgage,False,False,0,High,4,0,6,289-690-7751T,4510 1677T 0436 9086,DEBIT,TJB61726@fake.bla.com,0.15,0.06,26-35,White,60k-100k,1M-2M,0-500,8
184816,F,Brampton,ON,RACHEL DUKE,27,False,,Asian,86821.0,True,1369425.0,0.0,True,False,2864,16221.65,728.0,Credit; Checking; Investment,11,99.0,True,1748.3,Mortgage,True,False,0,High,3,2,4,613-130-2297T,4510 1369T 6029 5648,CREDIT,TRACHEL_DUKE12@synth.outlook.com,0.17,0.08,26-35,OTHER,60k-100k,1M-2M,0-500,6
54003,M,Toronto,ON,LLOYD WILLIAM,40,False,,Asian,89616.0,True,1209153.0,0.0,True,False,4324,55751.38,726.0,Credit,4,15.13,False,25.12,Mortgage,False,False,12,Low,6,0,4,807-977-7513T,4510 1377T 7505 1749,CREDIT,TLW19334@test.live.com,0.15,0.17,36-45,OTHER,60k-100k,1M-2M,0-500,40
35868,M,Toronto,ON,GIBSON PETER,25,False,,White,72307.0,True,1081176.0,0.0,True,False,1869,22771.34,701.0,Checking,7,15.76,False,9.97,Mortgage,True,False,3,Medium,2,2,2,753-974-8184T,4510 1397T 2538 2119,CREDIT,TGIBSONM99@rand.cogeco.ca,0.15,0.12,18-25,White,60k-100k,1M-2M,0-500,10
62251,F,Toronto,ON,JAMES KAREN,41,False,,Asian,78094.0,True,1038523.0,0.0,True,False,4218,55836.25,741.0,Investment; Credit,1,65.0,True,2374.56,Mortgage,False,False,2,High,5,3,1,905-805-3870T,4514 0163T 4819 1586,CREDIT,TcrummyTermite8JAKA@fake.zoho.com,0.15,0.1,36-45,OTHER,60k-100k,1M-2M,0-500,69
51601,M,Toronto,ON,CASLICK STEPHEN,35,False,,Asian,82344.0,True,1174986.0,0.0,True,False,3908,25781.12,724.0,Checking,6,14.42,False,24.31,Mortgage,True,True,0,Low,6,2,4,705-135-6934T,5415 9094T 3152 3037,CREDIT,TCS90986934@fake.bla.com,0.15,0.27,26-35,OTHER,60k-100k,1M-2M,0-500,39
111338,F,Vancouver,BC,BELL LOUISE,38,False,,Asian,99727.0,True,1430010.0,0.0,True,False,5792,44427.41,729.0,Credit,12,11.94,False,68.28,Mortgage,True,False,0,Medium,2,3,3,778-171-5809T,4510 1647T 7698 5025,DEBIT,TBL97995@fake.mail.com,0.13,0.35,36-45,OTHER,60k-100k,1M-2M,0-500,17
88754,F,Montreal,QC,MELINDA MEYER,24,False,,Black,42734.0,False,0.0,727.0,True,False,1651,7429.34,459.0,Checking,14,80.0,True,884.07,Student Loan,False,False,0,High,3,2,4,579-981-1766T,4510 1529T 0253 1680,CREDIT,TMELINDAsolidGelding713@test.comcast.net,0.18,0.08,18-25,OTHER,30k-60k,0-200k,500-1k,7
139526,F,Edmonton,AB,JACOB CAMILLE,28,False,,White,98004.0,True,444093.0,0.0,True,False,2904,29229.67,689.0,Credit,15,50.0,True,1803.67,Mortgage,False,True,0,Medium,7,2,4,403-487-2452T,4510 1614T 9462 6095,DEBIT,TJACOBF35@rand.iCloud.com,0.16,0.25,26-35,White,60k-100k,200k-500k,0-500,6
39859,M,Toronto,ON,PAGE DAVID,35,False,,White,98199.0,True,537514.0,0.0,True,False,2941,16542.2,674.0,Credit,4,8.22,False,9.87,Mortgage,True,True,0,Low,5,1,5,437-680-3829T,5415 9011T 6238 1407,CREDIT,TPD5416156522@synth.zoho.com,0.15,0.14,26-35,White,60k-100k,500k-1M,0-500,19
235608,M,St. Catharines,ON,RITA WILLIAMS,38,False,,White,85522.0,True,802640.0,0.0,True,False,4146,41274.2,740.0,Checking; Credit; Investment,17,3.44,False,20.12,Personal Loan,True,False,3,Low,4,0,6,365-262-3599T,4510 1544T 1069 0145,CREDIT,TRW692559837@synth.gmail.com,0.13,0.17,36-45,White,60k-100k,500k-1M,0-500,7
4903,F,Toronto,ON,LONG MARY,46,False,,Asian,86262.0,True,1187531.0,0.0,True,False,4545,74121.74,753.0,Investment,26,75.0,True,3442.87,Auto Loan,True,False,8,High,4,3,4,365-598-3076T,5415 9020T 7812 4989,CREDIT,TeagerCardinal1LOMA@non.neo.com,0.15,0.26,36-45,OTHER,60k-100k,1M-2M,0-500,69
24291,M,Toronto,ON,SAMANTHA WEST,28,True,,White,100224.0,True,1077685.0,0.0,True,False,4610,26129.66,744.0,Credit,11,17.13,False,18.31,Mortgage,True,False,5,Medium,2,6,1,647-989-7656T,4512 2378T 2564 6068,CREDIT,TSW0303532@fake.netZero.com,0.15,0.31,26-35,White,100k-200k,1M-2M,0-500,6
11530,M,Toronto,ON,SEAN MEDINA,44,False,,Black,103199.0,True,1261900.0,0.0,False,False,8600,60759.98,727.0,Investment,3,67.0,True,4742.9,Mortgage,True,True,0,High,4,6,1,742-988-7666T,4510 1622T 0727 6210,DEBIT,TSM4419@fake.jumo.com,0.15,0.52,36-45,OTHER,100k-200k,1M-2M,0-500,7
58978,M,Toronto,ON,CAMERON FERNAND,48,True,,White,92201.0,True,1217617.0,0.0,True,False,5880,20981.78,783.0,Checking,4,14.72,False,45.55,Mortgage,True,False,0,Medium,2,2,3,437-103-3266T,4510 1615T 0104 7813,DEBIT,TCF2385846770@fake.outlook.com,0.15,0.06,46-55,White,60k-100k,1M-2M,0-500,9
67795,F,Toronto,ON,EDWARDS KATHLEEN,26,False,,White,65494.0,True,847590.0,0.0,True,False,3094,23318.53,654.0,Checking; Credit,16,6.52,False,11.66,Mortgage,True,False,5,Low,4,0,7,613-332-2233T,4510 1368T 8837 4897,CREDIT,TEDWARDS_KATHLEEN71@rand.comcast.net,0.15,0.12,18-25,White,60k-100k,500k-1M,0-500,6
92592,M,Montreal,QC,LESIEUR PIERRE,41,False,,Asian,82786.0,True,608969.0,0.0,False,False,4484,9771.61,665.0,Checking,29,113.0,True,2899.8,Mortgage,True,False,10,High,4,4,3,418-644-9668T,5415 9020T 2231 2777,CREDIT,TLESIEURPIERRE@synth.icloud.com,0.18,0.36,36-45,OTHER,60k-100k,500k-1M,0-500,5
217076,F,Markham,ON,BUDGE ELAINE,30,True,,Asian,69270.0,True,1323214.0,0.0,True,False,4288,6255.14,693.0,Credit,14,7.05,False,13.29,Mortgage,False,True,0,Low,4,0,7,905-499-8524T,4510 1661T 2797 4769,DEBIT,TBE4530@fake.yahoo.com,0.12,0.17,26-35,OTHER,60k-100k,1M-2M,0-500,5
84315,F,Montreal,QC,THEBERGE HELENE,31,False,,White,80542.0,True,629407.0,0.0,True,False,3708,43675.33,714.0,Checking,4,11.91,False,24.77,Personal Loan,True,False,0,Medium,2,1,6,263-118-9434T,4512 2334T 3136 5854,CREDIT,TTH53377311@rand.outlook.com,0.18,0.1,26-35,White,60k-100k,500k-1M,0-500,28
199897,F,Kitchener,ON,MILLER JEN,27,False,,White,71858.0,True,760428.0,0.0,True,False,3591,37020.09,710.0,Checking,15,99.0,True,2391.43,Mortgage,True,True,9,High,4,3,4,343-528-5291T,5415 9025T 6689 8965,CREDIT,TMILLER_JEN24@synth.neo.com,0.15,0.53,26-35,White,60k-100k,500k-1M,0-500,7
42967,F,Toronto,ON,MARRONE LAURIE,39,False,,White,88629.0,True,1048998.0,0.0,True,True,5183,38355.57,850.0,Investment,23,117.0,True,3612.78,Mortgage,True,True,4,High,5,0,7,519-967-7265T,4510 1580T 4055 8742,CREDIT,TML632560@fake.yahoo.com,0.15,0.09,36-45,White,60k-100k,1M-2M,0-500,5
38202,M,Toronto,ON,DORION MARK,39,False,,White,94534.0,True,956082.0,0.0,True,False,4564,20375.06,710.0,Checking,17,22.13,False,55.22,Personal Loan,True,False,8,Low,5,3,1,742-936-4954T,5415 9011T 6160 7014,CREDIT,TDM89158132@synth.mail.com,0.15,0.38,36-45,White,60k-100k,500k-1M,0-500,7
10538,M,Toronto,ON,GOLD DAVID,23,False,,Black,84152.0,False,0.0,1078.0,True,True,2487,12938.19,656.0,Credit,15,20.45,False,15.73,Student Loan,False,False,0,Medium,2,1,4,416-414-8193T,4510 1636T 3787 9078,DEBIT,TGOLD_DAVID48@non.zoho.com,0.15,0.11,18-25,OTHER,60k-100k,0-200k,1k-2k,6
26236,M,Toronto,ON,STRINGER ROBERT,34,False,,White,75724.0,True,1063196.0,0.0,True,False,3131,26917.04,677.0,Checking,18,8.31,False,9.46,Mortgage,True,True,0,Low,6,2,3,807-137-9663T,5415 9079T 7143 9641,CREDIT,TSTROsomberMuesli11955@non.hotmail.com,0.15,0.36,26-35,White,60k-100k,1M-2M,0-500,23
6862,F,Toronto,ON,BRENDA SMITH,37,True,,Asian,76316.0,True,1125546.0,0.0,True,False,3826,25091.15,701.0,Checking,20,70.0,True,2771.77,Mortgage,True,True,1,High,4,0,4,519-807-1090T,4510 1551T 6525 1188,CREDIT,TBS60195519@non.outlook.com,0.15,0.04,36-45,OTHER,60k-100k,1M-2M,0-500,36
24419,M,Toronto,ON,ARSENAULT BRUCE,46,False,,Asian,110066.0,True,1567514.0,0.0,True,False,9172,27148.85,762.0,Credit,29,44.0,True,6159.39,Mortgage,False,True,0,High,4,4,1,289-566-1856T,4519 9215T 2699 4949,DEBIT,TARSENAULTBRUCE@rand.icloud.com,0.15,0.3,36-45,OTHER,100k-200k,1M-2M,0-500,29
